"vehicle.id","vehicle.make","vehicle.model","vehicle.type","fuelType","vehicle.year","vehicle category"
44061,"Tesla","Model X","suv","ELECTRIC",2019,"high end"
69291,"Tesla","Model X","suv","ELECTRIC",2018,"high end"
83091,"Toyota","Prius","car","HYBRID",2012,"medium range"
80815,"Ford","Mustang","car","GASOLINE",2018,"high end"
43093,"Chrysler","Sebring","car","GASOLINE",2010,"medium range"
90109,"Mercedes-Benz","GL-Class","suv","GASOLINE",2012,"medium range"
63578,"GMC","Yukon XL","suv","GASOLINE",2005,"low end"
42306,"Ford","Expedition","suv","GASOLINE",2018,"high end"
78739,"Ford","Focus RS","car","GASOLINE",2016,"high end"
87429,"Ford","EcoSport","suv","GASOLINE",2018,"high end"
96332,"Ford","F-150","truck","GASOLINE",2012,"medium range"
16703,"Toyota","Prius","car","HYBRID",2012,"medium range"
48539,"Volkswagen","Tiguan","suv","GASOLINE",2018,"high end"
46073,"Toyota","Avalon Hybrid","car","HYBRID",2013,"medium range"
74366,"Saab","3-Sep","car","GASOLINE",2011,"medium range"
84067,"Ram","CV Tradesman","minivan","GASOLINE",2014,"medium range"
39990,"Jeep","Cherokee","suv","GASOLINE",2018,"high end"
43130,"Porsche","Cayman","car","GASOLINE",2007,"low end"
50544,"Jeep","Wrangler JK","suv","GASOLINE",2018,"high end"
30461,"Ford","Mustang","car","GASOLINE",2019,"high end"
21886,"Ford","Explorer","suv","GASOLINE",2012,"medium range"
90810,"Nissan","Rogue","suv","GASOLINE",2016,"high end"
76152,"Tesla","Model S","car","ELECTRIC",2015,"medium range"
12169,"Dodge","Charger","car","GASOLINE",2014,"medium range"
13796,"Volkswagen","Jetta","car","GASOLINE",2019,"high end"
36129,"Hyundai","Sonata","car","GASOLINE",2016,"high end"
90407,"Chevrolet","Impala","car","GASOLINE",2010,"medium range"
59097,"Hyundai","Accent","car","GASOLINE",2015,"medium range"
45709,"Ford","Focus","car","GASOLINE",2010,"medium range"
15672,"GMC","Yukon XL","suv","GASOLINE",2018,"high end"
27470,"Toyota","Sequoia","suv","GASOLINE",2016,"high end"
57016,"Mercedes-Benz","GLC-Class","suv","GASOLINE",2016,"high end"
10334,"Ford","Fiesta","car","",2019,"high end"
92128,"Dodge","Journey","suv","GASOLINE",2019,"high end"
83220,"Lexus","ES 300h","car","HYBRID",2015,"medium range"
18404,"Cadillac","ATS","car","GASOLINE",2015,"medium range"
71046,"Lexus","IS 350","car","GASOLINE",2015,"medium range"
77344,"smart","fortwo","car","GASOLINE",2010,"medium range"
69459,"Land Rover","Range Rover","suv","GASOLINE",2016,"high end"
22742,"Tesla","Model 3","car","ELECTRIC",2020,"high end"
42031,"Porsche","718 Boxster","car","GASOLINE",2017,"high end"
27476,"Mercedes-Benz","S-Class","car","GASOLINE",2015,"medium range"
45422,"BMW","7 Series","car","GASOLINE",2018,"high end"
91200,"Mercedes-benz","C-Class","car","GASOLINE",2019,"high end"
36959,"BMW","4 Series","car","GASOLINE",2018,"high end"
42275,"Porsche","Panamera","car","GASOLINE",2011,"medium range"
90227,"Mercedes-Benz","GLA-Class","suv","GASOLINE",2017,"high end"
50058,"Volkswagen","Jetta","car","GASOLINE",2016,"high end"
43026,"Acura","MDX","suv","GASOLINE",2014,"medium range"
97327,"Tesla","Model 3","car","ELECTRIC",2018,"high end"
20093,"Chevrolet","Corvette Stingray","car","GASOLINE",2014,"medium range"
94475,"Audi","A8","car","GASOLINE",2015,"medium range"
55386,"Nissan","Altima","car","GASOLINE",2018,"high end"
74872,"Audi","A7","car","GASOLINE",2017,"high end"
24298,"Audi","RS 7","car","GASOLINE",2014,"medium range"
12172,"Dodge","Grand Caravan","minivan","GASOLINE",2015,"medium range"
71308,"Jaguar","XJ","car","GASOLINE",2016,"high end"
51337,"Tesla","Model S","car","ELECTRIC",2018,"high end"
66544,"Mercedes-Benz","C-Class","car","GASOLINE",2015,"medium range"
92601,"Chevrolet","Corvette","car","GASOLINE",2017,"high end"
47796,"Mercedes-Benz","S-Class","car","GASOLINE",2016,"high end"
23852,"Chevrolet","Camaro","car","GASOLINE",2017,"high end"
72184,"Land Rover","Range Rover Sport","suv","GASOLINE",2014,"medium range"
34825,"Maserati","Quattroporte","car","GASOLINE",2016,"high end"
66076,"INFINITI","Q50","car","GASOLINE",2018,"high end"
50185,"Chevrolet","Corvette","car","GASOLINE",2015,"medium range"
10370,"Porsche","Boxster","car","GASOLINE",2014,"medium range"
77389,"Tesla","Model 3","car","ELECTRIC",2019,"high end"
18590,"Porsche","Cayenne","suv","DIESEL",2014,"medium range"
53008,"Ford","Mustang","car","GASOLINE",2019,"high end"
85965,"Land Rover","Range Rover Sport","suv","GASOLINE",2016,"high end"
34781,"Infiniti","EX35","suv","GASOLINE",2008,"low end"
96319,"INFINITI","Q50","car","GASOLINE",2018,"high end"
79597,"Mercedes-Benz","E-Class","car","GASOLINE",2016,"high end"
59106,"Mazda","CX-5","suv","GASOLINE",2018,"high end"
46080,"smart","fortwo","car","GASOLINE",2015,"medium range"
67697,"BMW","Z4","car","GASOLINE",2008,"low end"
52440,"Chevrolet","Camaro","car","GASOLINE",2018,"high end"
42750,"Land Rover","Range Rover Evoque","suv","GASOLINE",2015,"medium range"
79209,"BMW","X4","suv","GASOLINE",2018,"high end"
88253,"Infiniti","QX60","suv","GASOLINE",2015,"medium range"
41774,"Tesla","Model 3","car","ELECTRIC",2020,"high end"
33271,"BMW","6 Series Gran Coupe","car","GASOLINE",2013,"medium range"
57300,"BMW","M4","car","GASOLINE",2015,"medium range"
96637,"Mercedes-Benz","C-Class","car","GASOLINE",2016,"high end"
40911,"Tesla","Model X","suv","ELECTRIC",2018,"high end"
14342,"Maserati","Ghibli","car","GASOLINE",2015,"medium range"
59525,"Mercedes-Benz","GLA-Class","suv","GASOLINE",2015,"medium range"
48201,"Maserati","Ghibli","car","GASOLINE",2015,"medium range"
76638,"Chevrolet","Camaro","car","GASOLINE",2019,"high end"
84743,"Mercedes-Benz","C-Class","car","GASOLINE",2016,"high end"
75132,"BMW","M4","car","GASOLINE",2016,"high end"
44143,"Tesla","Model 3","car","ELECTRIC",2018,"high end"
85534,"BMW","5 Series","car","GASOLINE",2011,"medium range"
62431,"Tesla","Model X","suv","ELECTRIC",2016,"high end"
73899,"BMW","i8","car","GASOLINE",2015,"medium range"
79062,"Mercedes-Benz","E-Class","car","GASOLINE",2017,"high end"
97401,"Land Rover","Range Rover Sport","suv","GASOLINE",2018,"high end"
50600,"Chevrolet","Corvette","car","GASOLINE",2016,"high end"
35767,"Ford","Fiesta","car","GASOLINE",2017,"high end"
72867,"Mercedes-Benz","AMG GT","car","GASOLINE",2016,"high end"
93365,"Volkswagen","Arteon","car","GASOLINE",2019,"high end"
36100,"Ford","Fiesta","car","GASOLINE",2015,"medium range"
65976,"Maserati","Ghibli","car","GASOLINE",2015,"medium range"
22189,"BMW","X6","suv","GASOLINE",2018,"high end"
12961,"Mercedes-Benz","SLK-Class","car","GASOLINE",2013,"medium range"
39465,"Tesla","Model 3","car","ELECTRIC",2020,"high end"
73846,"Land Rover","Range Rover Velar","suv","GASOLINE",2019,"high end"
25179,"Bentley","Continental GT","car","GASOLINE",2005,"low end"
73645,"Porsche","Panamera","car","GASOLINE",2018,"high end"
34425,"Tesla","Model X","suv","ELECTRIC",2016,"high end"
84273,"Porsche","Cayenne","suv","HYBRID",2017,"high end"
91359,"Porsche","718 Cayman","car","GASOLINE",2017,"high end"
39780,"Tesla","Model 3","car","ELECTRIC",2019,"high end"
71304,"Porsche","Cayenne","suv","GASOLINE",2011,"medium range"
76444,"Jaguar","F-TYPE","car","GASOLINE",2016,"high end"
36997,"Ford","Fiesta","car","GASOLINE",2017,"high end"
99761,"Chevrolet","Camaro","car","GASOLINE",2016,"high end"
29933,"Audi","TTS","car","GASOLINE",2017,"high end"
95374,"BMW","X4","suv","GASOLINE",2017,"high end"
87708,"Dodge","Charger","car","GASOLINE",2017,"high end"
83226,"Mercedes-Benz","C-Class","car","GASOLINE",2016,"high end"
91703,"GMC","Yukon","suv","GASOLINE",2019,"high end"
59250,"Tesla","Model 3","car","ELECTRIC",2019,"high end"
43410,"Chevrolet","Suburban","suv","GASOLINE",2011,"medium range"
83384,"Toyota","Corolla","car","GASOLINE",2020,"high end"
57276,"Porsche","Boxster","car","GASOLINE",2015,"medium range"
19052,"Tesla","Model 3","car","ELECTRIC",2019,"high end"
40150,"Mitsubishi","Mirage","car","GASOLINE",2014,"medium range"
20532,"Chevrolet","Corvette","car","GASOLINE",2017,"high end"
21457,"Porsche","Panamera","car","GASOLINE",2016,"high end"
50301,"Land Rover","Range Rover","suv","DIESEL",2016,"high end"
31813,"BMW","4 Series","car","GASOLINE",2014,"medium range"
29881,"Lexus","IS 200t","car","GASOLINE",2016,"high end"
99943,"Chevrolet","Suburban","suv","GASOLINE",2012,"medium range"
54902,"Nissan","Versa","car","GASOLINE",2017,"high end"
72848,"Maserati","Ghibli","car","GASOLINE",2017,"high end"
54390,"Jaguar","F-TYPE","car","GASOLINE",2014,"medium range"
48175,"BMW","4 Series","car","GASOLINE",2015,"medium range"
24059,"Dodge","Challenger","car","GASOLINE",2019,"high end"
91696,"Audi","A7","car","GASOLINE",2017,"high end"
97232,"Ford","Mustang","car","GASOLINE",2014,"medium range"
59163,"Maserati","Ghibli","car","GASOLINE",2017,"high end"
99064,"Audi","Q7","suv","DIESEL",2015,"medium range"
77030,"Acura","MDX","suv","GASOLINE",2016,"high end"
24301,"Ford","Mustang","car","GASOLINE",2018,"high end"
80143,"Tesla","Model S","car","ELECTRIC",2015,"medium range"
49685,"Hyundai","Accent","car","GASOLINE",2017,"high end"
81890,"Dodge","Challenger","car","GASOLINE",2018,"high end"
22980,"Maserati","Ghibli","car","GASOLINE",2015,"medium range"
